Name,Weightclass,Link,Placing,Name,YOB,Team,State,Weight,Squat1,Squat2,Squat3,Bench press1,Bench press2,Bench press3,Deadlift1,Deadlift2,Deadlift3,Total,Points,Drug tested
Nandi Xie,-63,lifters-view?id=15078,3.,Nandi Xie,1963,,CO,62.95,95,105,110,-70,72.5,75,110,125,130,315,338.50,
Joanne Craig,-63,lifters-view?id=591,4.,Joanne Craig,1961,,PA,62.85,122.5,131,-132.5,57.5,60,-62.5,122.5,-132.5,-132.5,313.5,337.29,
Cathleen Marksteiner,-63,lifters-view?id=5893,5.,Cathleen Marksteiner,1958,,OH,62.34,92.5,100,102.5,62.5,67.5,72.5,115,122.5,-137.5,297.5,322.07,
Suzanne LaForge,-72,lifters-view?id=14283,1.,Suzanne LaForge,1959,Team Florida,FL,64.40,125,132.5,140,70,75,-77.5,170,-180,180,395,417.28,
Kristine Kobza,-72,lifters-view?id=30932,2.,Kristine Kobza,1967,Out of Africa,AZ,70.27,125,132.5,137.5,77.5,80,-82.5,162.5,170,172.5,390,386.96,
Donna Truax,-72,lifters-view?id=24692,3.,Donna Truax,1966,,WA,64.64,97.5,105,112.5,62.5,67.5,70,147.5,157.5,-167.5,340,358.16,
Natasha Atkinson,-72,lifters-view?id=15339,4.,Natasha Atkinson,1964,,MD,69.82,92.5,100,110,65,70,75,125,137.5,-147.5,322.5,321.40,
Gretchen Patsios,-72,lifters-view?id=35017,5.,Gretchen Patsios,1966,,GA,71.60,85,92.5,97.5,65,70,72.5,100,110,122.5,292.5,286.56,
Patty Takayama-Zannini,-72,lifters-view?id=40870,6.,Patty Takayama-Zannini,1959,,RI,65.56,92.5,100,105,45,47.5,50,120,130,135,290,302.33,
Lee Lipsitz,-84,lifters-view?id=4346,1.,Lee Lipsitz,1964,,CT,77.22,130,137.5,143,67.5,72.5,77.5,150,160,167.5,388,362.31,
Laura Reagle,-84,lifters-view?id=13801,2.,Laura Reagle,1964,,AZ,79.96,130,-140,140,65,70,75,142.5,155,-175,370,338.66,
Denise Demkowicz,-84,lifters-view?id=31156,3.,Denise Demkowicz,1961,,NJ,83.20,110,117.5,122.5,62.5,-67.5,-67.5,132.5,137.5,140,325,291.23,
Susan Wilson,-84,lifters-view?id=15871,4.,Susan Wilson,1966,,CT,83.03,102.5,-110,110,-65,65,-67.5,125,130,137.5,312.5,280.31,
Cindy Amatuzzo,-84,lifters-view?id=16454,5.,Cindy Amatuzzo,1965,Team Carolina,NC,81.88,95,102.5,-110,67.5,72.5,75,120,127.5,132.5,310,280.09,
Susan Hines,84+,lifters-view?id=37582,1.,Susan Hines,1967,,WA,84.79,125,132.5,140,65,70,-72.5,140,150,155,365,323.97,
Gina Martino Trubits,84+,lifters-view?id=38886,2.,Gina Martino Trubits,1966,,NY,89.04,65,-67.5,72.5,52.5,55,57.5,95,100,107.5,237.5,206.15,
Marlene Perez,-52,lifters-view?id=25570,1.,Marlene Perez,1954,GATA Barbell,GA,49.59,85,90,92.5,60,62.5,-66,110,120,127.5,282.5,365.19,
