Comp ID,Date,Name,Sanction #,State,Results,Homepage
competitions-view?id=504,01/01/2013,MS State & Regional VI Championships - 7/23/13,,,,
competitions-view?id=507,01/01/2013,Pro Summer Slam Bench Press,,,,
competitions-view?id=511,01/01/2013,2013 USAPL Bench Press Nationals,,,,
competitions-view?id=623,12/15/2012,SOUTHSIDE CLASSIC,12-12-2,,,
competitions-view?id=553,12/01/2012,2012 American Open,,,,
competitions-view?id=561,11/19/2012,2012 Stars and Stripes Championships,,Pennsylvania,,
competitions-view?id=572,11/10/2012,2012 USAPL Southside Fall Classic,11-12-1,,,
competitions-view?id=600,11/05/2012,IPF Mens Worlds,,,,
competitions-view?id=640,11/05/2012,IPF WOMENS WORLDS,,,,
competitions-view?id=614,11/03/2012,Ohio Powerlifting/ Bench Press/ Ironman Push Pull State Championships,11-12-12,,,
competitions-view?id=636,10/27/2012,USAPL West Cary Barbell Fall Festival of Power,10-12-6,,,
competitions-view?id=556,10/20/2012,2012 COLUMBIA CITY,10-12-5,,,
competitions-view?id=557,10/06/2012,2012 Georgia & Southern States,10-12-3,,,
competitions-view?id=548,09/22/2012,USAPL Power Surge,9-12-3,,,
competitions-view?id=630,09/22/2012,USAPL IRON WARS,9-12-4,,,
competitions-view?id=647,09/22/2012,USAPL Power Surge - 9/22/2012,,,,
competitions-view?id=586,09/15/2012,Boston Open 2012,9-12-5,,,
competitions-view?id=628,08/25/2012,USAPL Bench Nationals 2012,,Nationals,,
competitions-view?id=552,08/18/2012,2012 Alki Beach Classic,,,,
competitions-view?id=625,08/18/2012,TWIN CITY OPEN,8-12-6,,,
competitions-view?id=616,08/03/2012,RAW NATIONALS,,,,
competitions-view?id=607,08/01/2012,NAPF,NAPF,,,
competitions-view?id=605,07/28/2012,Mississippi State Meet,7-12-4,,,
competitions-view?id=619,07/28/2012,Rocky Mountain State Games,7-12-4,,,
competitions-view?id=634,07/14/2012,USAPL Summer Power Fest 2012,7-12-5,,,
competitions-view?id=629,07/08/2012,USAPL Central FL Open PL CH,7-12-6,,,
competitions-view?id=565,07/07/2012,2012 Georgia Games,,,,
